startTime_ISO8601,startTime_secondsSinceMidnight1Jan1970UTC,estimatedSecondsSinceAlert,wantingAnything,whatWanting,wantingIntensity,wantedToFeel_control,wantedToFeel_lessStress,wantedToFeel_goodAboutMe,wantedToFeel_connected,wantedToFeel_comfort,wantedToFeel_novelty,wantedToFeel_calm,wantedToFeel_health,wantedToFeel_energy,wantedToFeel_goodPerson,wantedToFeel_competent,wantedToFeel_acknowledged,wantedToFeel_helpful,wantedToFeel_other,wantedToFeel_specifiedOther,wantedToFeel_nothingInParticular,doing,doing_specifiedOther,withOthers,feelingBadToGood,energy,physically_good,physically_energized,physically_hungry,physically_tired,physically_uncomfortable,physically_other,physically_specifiedOther,physically_noFeeling,feeling_angry,feelingIntensity_angry,feeling_anxious,feelingIntensity_anxious,feeling_awe,feelingIntensity_awe,feeling_content,feelingIntensity_content,feeling_frustrated,feelingIntensity_frustrated,feeling_grateful,feelingIntensity_grateful,feeling_happy,feelingIntensity_happy,feeling_jealous,feelingIntensity_jealous,feeling_loving,feelingIntensity_loving,feeling_proud,feelingIntensity_proud,feeling_restless,feelingIntensity_restless,feeling_sad,feelingIntensity_sad,feeling_other,feeling_specifiedOther,feeling_noEmotion,thinkingOverAndOver,comparingToOthers,lonely,selfWorth,appreciating,stressed
"2017-04-14T20:23:58-07:00",1492226638,785,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,"work",,1,0.5,0.5,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.143,,0.129,0.498,0.257,0.151
"2017-04-10T19:12:00-07:00",1491876720,9372,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"talk",,2,0.629,0.295,0,0,1,0,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0.104,0.498,0,0.502
"2017-04-10T12:22:11-07:00",1491852131,10425,2,"Work on my capstone ",0.586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,"work",,1,0.819,1,0,1,0,0,0,0,,0,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,0,,0,0.791,0,0
"2017-04-09T17:40:36-07:00",1491784836,8424,1,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,"work",,0,0.375,0.464,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.241,,0.179,0.498,0.086,0.243
"2017-04-09T09:36:56-07:00",1491755816,35,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"work",,0,0.365,0.321,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0,,0.297,0.498,0,0.207
"2017-04-08T20:07:08-07:00",1491707228,12344,2,"Find a good song ",0.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"leisure",,0,0.606,0.512,0,0,1,0,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,0,,0.133,0.554,0.502,0
"2017-04-07T23:02:28-07:00",1491631348,7549,1,"Go to b",,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,0,"leisure",,1,0,0,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0,,1,0.502,0.005,0
"2017-04-07T17:47:57-07:00",1491612477,9969,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"travel",,1,0.261,0.124,0,0,1,0,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0,,0.898,0.48,0,0
"2017-04-07T12:02:16-07:00",1491591736,4003,2,"Work on capstone ",0.47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,"work",,2,0.629,0.707,0,0,1,0,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.618,0.163,0.076
"2017-04-06T20:22:54-07:00",1491535374,2138,2,"Work on capstone ",0.476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"work",,0,0.624,0.586,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.498,0,0
"2017-04-06T17:52:09-07:00",1491526329,10466,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,"talk",,2,0.56,0.5,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0,,0.52,0.602,0,0.488
"2017-04-06T12:36:19-07:00",1491507379,12550,1,,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,"eat",,1,0.394,0.384,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0,,0.5,0.502,0,0
"2017-04-05T20:05:47-07:00",1491447947,441,2,"Work on my capstone project ",0.446,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,"leisure",,0,0.52,0.498,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0.131,0.5,0,0.127
"2017-04-05T17:45:07-07:00",1491439507,2085,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"travel",,0,0.359,0.494,0,0,1,0,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0,,0.831,0.502,0,0
"2017-04-05T09:32:34-07:00",1491409954,14,1,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,"work",,1,0.5,0.685,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.114,,0.086,0.612,0,0
